average,total_sg:putting,player_id,rank_last_week,player_name,season,tournament,measured_rounds,time_period,player_url,rounds,rank_this_week
2.043,8.170,27141,,J.B. Holmes,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.27141.j-b--holmes.html,4,1
1.989,7.956,27895,25,Jonas Blixt,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.27895.jonas-blixt.html,4,2
1.927,7.707,34261,33,Scott Langley,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.34261.scott-langley.html,4,3
1.811,7.245,37455,1,Si Woo Kim,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.37455.si-woo-kim.html,4,4
1.599,6.395,23325,,Vaughn Taylor,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.23325.vaughn-taylor.html,4,5
1.538,6.151,33448,,Justin Thomas,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.33448.justin-thomas.html,4,6
1.233,4.931,33667,,Carlos Ortiz,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.33667.carlos-ortiz.html,4,7
1.224,4.896,29725,5,Tony Finau,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.29725.tony-finau.html,4,8
1.179,4.717,46970,,Jon Rahm,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.46970.jon-rahm.html,4,9
1.177,4.709,26851,,Marc Leishman,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.26851.marc-leishman.html,4,10
1.091,4.364,35879,,Kelly Kraft,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.35879.kelly-kraft.html,4,11
1.057,4.226,22371,,Aaron Baddeley,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.22371.aaron-baddeley.html,4,12
.991,3.965,29484,,Peter Uihlein,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.29484.peter-uihlein.html,4,13
.986,3.944,36699,,Patrick Rodgers,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.36699.patrick-rodgers.html,4,14
.967,3.868,24502,,Adam Scott,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.24502.adam-scott.html,4,15
.849,3.395,27644,,Brian Harman,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.27644.brian-harman.html,4,16
.846,3.382,30925,53,Dustin Johnson,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.30925.dustin-johnson.html,4,17
.820,3.279,21961,,Charles Howell III,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.21961.charles-howell-iii.html,4,18
.751,3.003,26499,37,Rafa Cabrera Bello,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.26499.rafa-cabrera-bello.html,4,19
.720,2.881,28237,,Rory McIlroy,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.28237.rory-mcilroy.html,4,20
.706,2.822,34466,,Peter Malnati,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.34466.peter-malnati.html,4,21
.682,2.726,49771,,J.T. Poston,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.49771.j-t--poston.html,4,22
.680,2.721,49481,,Tae Hee Lee,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.49481.tae-hee-lee.html,4,23
.679,2.714,25804,,Bubba Watson,2019,The Genesis Invitational,4,Tournament Only,https://www.pgatour.com/players/player.25804.bubba-watson.html,4,24
