tournament_id,events,money,player_url,player_id,rank_this_week,player_name,rank_last_week,time_period,tournament,season,ytd_victories
t007,1,"$1,332,000",https://www.pgatour.com/players/player.27141.j-b--holmes.html,27141,1,J.B. Holmes,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$799,200",https://www.pgatour.com/players/player.33448.justin-thomas.html,33448,2,Justin Thomas,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$503,200",https://www.pgatour.com/players/player.37455.si-woo-kim.html,37455,3,Si Woo Kim,T4,Tournament Only,The Genesis Invitational,2019,
t007,1,"$325,600",https://www.pgatour.com/players/player.28237.rory-mcilroy.html,28237,T4,Rory McIlroy,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$325,600",https://www.pgatour.com/players/player.26851.marc-leishman.html,26851,T4,Marc Leishman,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$266,400",https://www.pgatour.com/players/player.21961.charles-howell-iii.html,21961,6,Charles Howell III,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$238,650",https://www.pgatour.com/players/player.24502.adam-scott.html,24502,T7,Adam Scott,T61,Tournament Only,The Genesis Invitational,2019,
t007,1,"$238,650",https://www.pgatour.com/players/player.32150.michael-thompson.html,32150,T7,Michael Thompson,T10,Tournament Only,The Genesis Invitational,2019,
t007,1,"$177,600",https://www.pgatour.com/players/player.32839.hideki-matsuyama.html,32839,T9,Hideki Matsuyama,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$177,600",https://www.pgatour.com/players/player.33667.carlos-ortiz.html,33667,T9,Carlos Ortiz,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$177,600",https://www.pgatour.com/players/player.30925.dustin-johnson.html,30925,T9,Dustin Johnson,T45,Tournament Only,The Genesis Invitational,2019,
t007,1,"$177,600",https://www.pgatour.com/players/player.35879.kelly-kraft.html,35879,T9,Kelly Kraft,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$177,600",https://www.pgatour.com/players/player.46970.jon-rahm.html,46970,T9,Jon Rahm,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$177,600",https://www.pgatour.com/players/player.23325.vaughn-taylor.html,23325,T9,Vaughn Taylor,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.08793.tiger-woods.html,08793,T15,Tiger Woods,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.27129.luke-list.html,27129,T15,Luke List,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.25804.bubba-watson.html,25804,T15,Bubba Watson,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.27895.jonas-blixt.html,27895,T15,Jonas Blixt,T38,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.35450.patrick-cantlay.html,35450,T15,Patrick Cantlay,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.35461.beau-hossler.html,35461,T15,Beau Hossler,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.36699.patrick-rodgers.html,36699,T15,Patrick Rodgers,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.47959.bryson-dechambeau.html,47959,T15,Bryson DeChambeau,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.48081.xander-schauffele.html,48081,T15,Xander Schauffele,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$100,788",https://www.pgatour.com/players/player.29725.tony-finau.html,29725,T15,Tony Finau,T38,Tournament Only,The Genesis Invitational,2019,
t007,1,"$60,433",https://www.pgatour.com/players/player.32791.kyoung-hoon-lee.html,32791,T25,Kyoung-Hoon Lee,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$60,433",https://www.pgatour.com/players/player.26499.rafa-cabrera-bello.html,26499,T25,Rafa Cabrera Bello,T22,Tournament Only,The Genesis Invitational,2019,
t007,1,"$60,433",https://www.pgatour.com/players/player.25364.paul-casey.html,25364,T25,Paul Casey,2,Tournament Only,The Genesis Invitational,2019,
t007,1,"$50,320",https://www.pgatour.com/players/player.26596.ryan-moore.html,26596,T28,Ryan Moore,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$50,320",https://www.pgatour.com/players/player.23108.matt-kuchar.html,23108,T28,Matt Kuchar,T22,Tournament Only,The Genesis Invitational,2019,
t007,1,"$50,320",https://www.pgatour.com/players/player.29970.dylan-frittelli.html,29970,T28,Dylan Frittelli,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$50,320",https://www.pgatour.com/players/player.30911.tommy-fleetwood.html,30911,T28,Tommy Fleetwood,T45,Tournament Only,The Genesis Invitational,2019,
t007,1,"$50,320",https://www.pgatour.com/players/player.49771.j-t--poston.html,49771,T28,J.T. Poston,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$40,885",https://www.pgatour.com/players/player.47990.kyle-jones.html,47990,T33,Kyle Jones,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$40,885",https://www.pgatour.com/players/player.32139.danny-willett.html,32139,T33,Danny Willett,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$40,885",https://www.pgatour.com/players/player.25396.kevin-na.html,25396,T33,Kevin Na,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$40,885",https://www.pgatour.com/players/player.25493.nick-taylor.html,25493,T33,Nick Taylor,T28,Tournament Only,The Genesis Invitational,2019,
t007,1,"$31,820",https://www.pgatour.com/players/player.29479.scott-brown.html,29479,T37,Scott Brown,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$31,820",https://www.pgatour.com/players/player.10809.jim-furyk.html,10809,T37,Jim Furyk,T14,Tournament Only,The Genesis Invitational,2019,
t007,1,"$31,820",https://www.pgatour.com/players/player.01810.phil-mickelson.html,01810,T37,Phil Mickelson,1,Tournament Only,The Genesis Invitational,2019,
t007,1,"$31,820",https://www.pgatour.com/players/player.21209.sergio-garcia.html,21209,T37,Sergio Garcia,,Tournament Only,The Genesis Invitational,2019,
t007,1,"$31,820",https://www.pgatour.com/players/player.30944.jason-kokrak.html,30944,T37,Jason Kokrak,,Tournament Only,The Genesis Invitational,2019,
