stat_id,season,stat_type,category,subcategory
02421,2020,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2019,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2018,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2017,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2016,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2015,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2014,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2013,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2012,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2011,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2010,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2009,Distance From Center Of Fairway,Off The Tee,Accuracy
02421,2008,Distance From Center Of Fairway,Off The Tee,Accuracy
02420,2020,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2019,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2018,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2017,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2016,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2015,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2014,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2013,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2012,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2011,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2010,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2009,Distance From Edge Of Fairway,Off The Tee,Accuracy
02420,2008,Distance From Edge Of Fairway,Off The Tee,Accuracy
102,2020,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2019,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2018,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2017,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2016,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2015,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2014,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2013,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2012,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2011,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2010,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2009,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2008,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2007,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2006,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2005,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2004,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2003,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2002,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2001,Driving Accuracy Percentage,Off The Tee,Accuracy
102,2000,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1999,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1998,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1997,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1996,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1995,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1994,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1993,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1992,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1991,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1990,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1989,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1988,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1987,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1986,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1985,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1984,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1983,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1982,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1981,Driving Accuracy Percentage,Off The Tee,Accuracy
102,1980,Driving Accuracy Percentage,Off The Tee,Accuracy
01008,2020,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2019,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2018,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2017,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2016,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2015,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2014,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2013,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2012,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2011,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2010,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2009,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2008,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2007,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2006,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2005,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2004,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2003,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2002,Fairway Bunker Tendency,Off The Tee,Accuracy
01008,2001,Fairway Bunker Tendency,Off The Tee,Accuracy
02438,2020,Good Drive Percentage,Off The Tee,Accuracy
02438,2019,Good Drive Percentage,Off The Tee,Accuracy
02438,2018,Good Drive Percentage,Off The Tee,Accuracy
02438,2017,Good Drive Percentage,Off The Tee,Accuracy
02438,2016,Good Drive Percentage,Off The Tee,Accuracy
02438,2015,Good Drive Percentage,Off The Tee,Accuracy
02438,2014,Good Drive Percentage,Off The Tee,Accuracy
02438,2013,Good Drive Percentage,Off The Tee,Accuracy
02438,2012,Good Drive Percentage,Off The Tee,Accuracy
02438,2011,Good Drive Percentage,Off The Tee,Accuracy
02438,2010,Good Drive Percentage,Off The Tee,Accuracy
02438,2009,Good Drive Percentage,Off The Tee,Accuracy
02438,2008,Good Drive Percentage,Off The Tee,Accuracy
02438,2007,Good Drive Percentage,Off The Tee,Accuracy
02438,2006,Good Drive Percentage,Off The Tee,Accuracy
