"","tournament","season","tournament_id.x","player_id","player_name","player_url","average_putting","total_sg_putting","rank_last_week_putting","measured_rounds_putting","time_period_putting","rounds_putting","rank_this_week_putting","total_sg_ott","measured_rounds_ott","average_ott","rounds_ott","rank_this_week_ott","rank_last_week_ott","time_period_ott","events","money","rank_this_week","rank_last_week","time_period"
"2","A Military Tribute at The Greenbrier",2010,"t490","25345","Carl Pettersson","https://www.pgatour.com/players/player.25345.carl-pettersson.html",1.445,5.78,"3",4,"Tournament Only",4,"8",-4.607,4,-1.152,4,"76","33","Tournament Only",1,13893,"5","1","Tournament Only"
"3","A Military Tribute at The Greenbrier",2010,"t490","26289","Boo Weekley","https://www.pgatour.com/players/player.26289.boo-weekley.html",0.402,1.607,"999",4,"Tournament Only",4,"35",2.659,4,0.665,4,"16","999","Tournament Only",1,138857,"9","999","Tournament Only"
"4","A Military Tribute at The Greenbrier",2010,"t490","08725","Tom Gillis","https://www.pgatour.com/players/player.08725.tom-gillis.html",0.638,2.552,"999",4,"Tournament Only",4,"26",1.115,4,0.279,4,"38","999","Tournament Only",1,17160,"4","999","Tournament Only"
"5","A Military Tribute at The Greenbrier",2010,"t490","12782","Tim Herron","https://www.pgatour.com/players/player.12782.tim-herron.html",0.189,0.755,"43",4,"Tournament Only",4,"48",1.858,4,0.465,4,"26","58","Tournament Only",1,13893,"5","3","Tournament Only"
"6","A Military Tribute at The Greenbrier",2010,"t490","21961","Charles Howell III","https://www.pgatour.com/players/player.21961.charles-howell-iii.html",0.214,0.854,"47",4,"Tournament Only",4,"46",2.653,4,0.663,4,"17","39","Tournament Only",1,138857,"9","3","Tournament Only"
"7","A Military Tribute at The Greenbrier",2010,"t490","25190","Jeff Quinney","https://www.pgatour.com/players/player.25190.jeff-quinney.html",1.598,6.392,"23",4,"Tournament Only",4,"7",-3.702,4,-0.926,4,"72","36","Tournament Only",1,12120,"6","4","Tournament Only"
"8","A Military Tribute at The Greenbrier",2010,"t490","26420","Richard Johnson","https://www.pgatour.com/players/player.26420.richard-johnson.html",1.224,4.896,"999",4,"Tournament Only",4,"13",-0.405,4,-0.101,4,"59","999","Tournament Only",1,47460,"2","999","Tournament Only"
"9","A Military Tribute at The Greenbrier",2010,"t490","26695","Michael Letzig","https://www.pgatour.com/players/player.26695.michael-letzig.html",-0.827,-3.306,"1",4,"Tournament Only",4,"73",4.431,4,1.108,4,"4","44","Tournament Only",1,47460,"2","4","Tournament Only"
"10","A Military Tribute at The Greenbrier",2010,"t490","27141","J.B. Holmes","https://www.pgatour.com/players/player.27141.j-b--holmes.html",0.169,0.674,"999",4,"Tournament Only",4,"49",5.864,4,1.466,4,"3","999","Tournament Only",1,90000,"1","999","Tournament Only"
"11","A Military Tribute at The Greenbrier",2010,"t490","28620","Aron Price","https://www.pgatour.com/players/player.28620.aron-price.html",-0.304,-1.216,"999",4,"Tournament Only",4,"63",0.622,4,0.156,4,"45","999","Tournament Only",1,138857,"9","999","Tournament Only"
